Operation,TenantName,TenantId,Environment,InitialInstanceType,FinalInstanceType,EventDate
increase,abcl,29515,prod9,m6i.4xlarge,m6i.8xlarge,2024-07-25T16:31:33+03:00
restart,yamaha-motor,28286,prod,,,2024-07-25T07:02:37+03:00
restart,americanfamily,20261,prod,,,2024-07-25T07:02:37+03:00
increase,h-ju,28389,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-25T07:01:09+03:00
increase,gce,30653,prod,m6i.4xlarge,m6i.8xlarge,2024-07-25T07:01:09+03:00
decrease,sailife,27681,prod7,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,pgpglass,28043,prod9,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,ipl,28410,prod9,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,adaro,29271,prod7,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,abcl,29515,prod9,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,ntu,29832,prod7,m6i.8xlarge,m6i.4xlarge,2024-07-24T18:03:23+03:00
decrease,beaumont,1333,prod,m6i.32xlarge,m6i.24xlarge,2024-07-24T07:03:23+03:00
increase,uhnj,20271,prod,m6i.8xlarge,m6i.12xlarge,2024-07-24T07:01:06+03:00
increase,alcon-dev,23877,prod,m6i.8xlarge,m6i.12xlarge,2024-07-24T07:01:06+03:00
increase,yamazakipan,26191,prod,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,rztienen,26197,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,papardo-ita,26932,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,brevard-cso-fl,27278,prod,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,afvbeltrame,28537,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,gainesvillega,28542,prod,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,projectbigin,28693,prod,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,stevemadden,30397,prod,m6i.4xlarge,m6i.8xlarge,2024-07-24T07:01:06+03:00
increase,nus,26906,prod7,m6i.8xlarge,m6i.12xlarge,2024-07-23T18:00:41+03:00
restart,cardinal,54,prod,,,2024-07-23T07:03:02+03:00
restart,texas-dps,20220,prod,,,2024-07-23T07:03:02+03:00
restart,rv,26770,prod4,,,2024-07-23T07:03:02+03:00
restart,charter,419,prod,,,2024-07-23T07:03:02+03:00
restart,escambia-co-al,28801,prod,,,2024-07-23T07:03:02+03:00
restart,ca-ots,26123,prod,,,2024-07-23T07:03:02+03:00
restart,brookfieldpropertiesnyc,21204,prod,,,2024-07-23T07:03:02+03:00
increase,ushmm,614,prod,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,nyc3-qa,21502,prod,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,fbd-ie,28283,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,udel,28716,prod,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,hsm,29731,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,usps,29744,prod,m6i.12xlarge,m6i.16xlarge,2024-07-23T07:00:59+03:00
increase,ght-vaucluse,30494,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-23T07:00:59+03:00
increase,schwingstetter,30341,prod9,m6i.4xlarge,m6i.8xlarge,2024-07-22T19:01:45+03:00
restart,teamglobalexp,25401,prod5,,,2024-07-22T07:01:58+03:00
restart,lab-nomios,28782,prod4,,,2024-07-22T07:01:58+03:00
restart,roshfrans-mx,28789,prod,,,2024-07-22T07:01:58+03:00
restart,vitesco,28779,prod4,,,2024-07-22T07:01:58+03:00
restart,btlot,28182,prod4,,,2024-07-21T07:01:49+03:00
restart,klipa,28766,prod4,,,2024-07-21T07:01:49+03:00
restart,dcc,28777,prod,,,2024-07-21T07:01:49+03:00
restart,bulloch-k12-ga,28767,prod,,,2024-07-18T07:01:29+03:00
restart,dade-city-fl,27160,prod,,,2024-07-18T07:01:29+03:00
increase,fdny,20268,prod,m6i.8xlarge,m6i.12xlarge,2024-07-18T07:00:39+03:00
increase,amitim,28441,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-18T07:00:39+03:00
increase,cravencounty,28584,prod,m6i.4xlarge,m6i.8xlarge,2024-07-18T07:00:39+03:00
increase,ntu,29832,prod7,m6i.4xlarge,m6i.8xlarge,2024-07-17T18:00:39+03:00
increase,1923cyber,27275,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-17T07:00:39+03:00
increase,patmed-sd,28808,prod,m6i.4xlarge,m6i.8xlarge,2024-07-17T07:00:39+03:00
restart,hunton,28754,prod4,,,2024-07-16T08:02:02+03:00
restart,infonavit-mx,27984,prod,,,2024-07-16T08:02:02+03:00
restart,cme-protv,28746,prod4,,,2024-07-16T08:02:02+03:00
increase,opzcrekem,28577,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-16T08:01:02+03:00
increase,gd-ots,29014,prod8,m6i.4xlarge,m6i.8xlarge,2024-07-16T08:01:02+03:00
increase,wmu,29489,prod,m6i.4xlarge,m6i.8xlarge,2024-07-16T08:01:02+03:00
restart,for-a,28745,prod7,,,2024-07-15T18:02:45+03:00
restart,royalenfield,28747,prod9,,,2024-07-15T18:02:45+03:00
increase,test-natali-for-resize,,,m6i.4xlarge,m6i.8xlarge,2024-07-15T14:38:46+03:00
increase,test-natali-for-resize,,,m6i.4xlarge,m6i.8xlarge,2024-07-15T13:34:58+03:00
decrease,soneparcanada,25509,prod,m6i.8xlarge,m6i.4xlarge,2024-07-15T13:28:21+03:00
increase,test-natali-for-resize,,,m6i.4xlarge,m6i.8xlarge,2024-07-15T13:27:33+03:00
restart,soneparcanada,25509,prod,,,2024-07-15T12:45:30+03:00
restart,isac,28742,prod,,,2024-07-15T07:01:31+03:00
restart,siouxcoia,28743,prod,,,2024-07-15T07:01:31+03:00
increase,everpharma,30118,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-15T07:00:41+03:00
restart,bsehq,,prod4,,,2024-07-14T07:01:48+03:00
increase,surreyandsussex-nhs,28901,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-14T07:00:49+03:00
increase,cdw2024,29723,prod,m6i.4xlarge,m6i.8xlarge,2024-07-14T07:00:49+03:00
restart,pg,874,prod,,,2024-07-13T07:01:48+03:00
restart,qehkl-nhs,22488,prod4,,,2024-07-13T07:01:48+03:00
increase,lifelongmedical,27750,prod,m6i.4xlarge,m6i.8xlarge,2024-07-13T07:00:55+03:00
increase,gmr,28226,prod,m6i.8xlarge,m6i.12xlarge,2024-07-13T07:00:55+03:00
increase,iot,28472,prod,m6i.8xlarge,m6i.12xlarge,2024-07-13T07:00:55+03:00
increase,skane,30063,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-13T07:00:55+03:00
increase,lab-neweratech,25436,prod,m6i.4xlarge,m6i.8xlarge,2024-07-12T07:00:48+03:00
